0,"[2547, 2.5, -4.6077557]"
1,"[2431, 3.0, 0.4709925]"
2,"[2877, 2.5, 0.5557661]"
3,"[502, 18.0, 0.58752364]"
4,"[126, 4.5, 0.9218084]"
5,"[1078, 2.5, 0.9749337]"
6,"[2607, 2.0, 1.1103443]"
7,"[1111, 2.0, 1.2384039]"
8,"[1712, 4.0, 1.3086624]"
9,"[101, 1.0, 1.3170702]"
10,"[1968, 1.0, 1.6123418]"
11,"[2295, 9.5, 1.652546]"
12,"[611, 1.5, 1.6566983]"
13,"[279, 3.0, 1.6765243]"
14,"[183, 5.0, 1.6887916]"
15,"[2963, 1.5, 1.7493558]"
16,"[811, 2.0, 1.7506964]"
17,"[1706, 2.0, 1.7944076]"
18,"[2728, 1.5, 1.928566]"
19,"[2113, 3.0, 1.9598825]"
20,"[896, 3.0, 2.0356085]"
21,"[1201, 2.5, 2.0439222]"
22,"[1663, 2.5, 2.0827389]"
23,"[1632, 12.0, 2.1467519]"
24,"[1979, 2.5, 2.1518257]"
25,"[290, 1.5, 2.1906557]"
26,"[1643, 4.5, 2.1937368]"
27,"[838, 3.0, 2.196915]"
28,"[994, 1.0, 2.2323277]"
29,"[1074, 2.0, 2.24396]"
