0,"[2793, [11.5453045, 5.0]]"
1,"[1566, [10.133669000000001, 1.0]]"
2,"[750, [9.54397, 1.5]]"
3,"[1073, [9.2038615, 1.0]]"
4,"[2215, [8.7487147, 1.0]]"
5,"[2424, [8.474509000000001, 2.5]]"
6,"[584, [8.191046, 1.0]]"
7,"[1681, [8.0258577, 1.0]]"
8,"[2833, [7.975484400000001, 2.0]]"
9,"[1302, [7.9113113, 15.5]]"
10,"[622, [7.869411299999999, 3.5]]"
11,"[1014, [7.8161375, 3.0]]"
12,"[2009, [7.8083346, 1.0]]"
13,"[510, [7.8065681, 1.5]]"
14,"[381, [7.805806800000001, 6.0]]"
15,"[502, [7.77417294, 18.0]]"
16,"[194, [7.740638799999999, 2.5]]"
17,"[1910, [7.7301857, 3.5]]"
18,"[2666, [7.7250746999999995, 1.0]]"
19,"[1158, [7.7187917, 5.0]]"
20,"[2674, [7.5732734, 1.0]]"
21,"[1658, [7.559776299999999, 3.5]]"
22,"[1238, [7.5565397, 1.0]]"
23,"[2598, [7.4969061, 1.5]]"
24,"[1654, [7.4355407, 4.5]]"
25,"[2340, [7.409143200000001, 1.0]]"
26,"[1402, [7.38724, 7.0]]"
27,"[1825, [7.3787032, 5.0]]"
28,"[101, [7.3715402, 1.0]]"
29,"[1523, [7.3311993, 18.0]]"
